Code,Color,Size,Brand,Quantity
AA9270,WHITE/NAVY,22,ANDY ANAND COUTURE,1
AA9270,WHITE/NAVY,24,ANDY ANAND COUTURE,3
AA9270,WHITE/NAVY,26,ANDY ANAND COUTURE,1
AA9270,WHITE/RED,6,ANDY ANAND COUTURE,6
AA9308,IVORY,4,ANDY ANAND COUTURE,2
AA9308,IVORY,6,ANDY ANAND COUTURE,1
AA9308,WHITE,4,ANDY ANAND COUTURE,4
AA9308,WHITE,6,ANDY ANAND COUTURE,3
AA9308,WHITE,8,ANDY ANAND COUTURE,1
AA9308,WHITE,10,ANDY ANAND COUTURE,2
AA9308,WHITE,14,ANDY ANAND COUTURE,6
AA9308,WHITE,16,ANDY ANAND COUTURE,17
AA9315,IVORY,2,ANDY ANAND COUTURE,1
AA9315,IVORY,4,ANDY ANAND COUTURE,7
AA9315,IVORY,6,ANDY ANAND COUTURE,3
AA9315,IVORY,8,ANDY ANAND COUTURE,1
AA9315,IVORY,10,ANDY ANAND COUTURE,3
AA9315,IVORY,12,ANDY ANAND COUTURE,2
AA9315,IVORY,14,ANDY ANAND COUTURE,1
AA9315,IVORY,16,ANDY ANAND COUTURE,2
AA9315,WHITE,4,ANDY ANAND COUTURE,6
AA9315,WHITE,6,ANDY ANAND COUTURE,3
AA9315,WHITE,8,ANDY ANAND COUTURE,5
AA9315,WHITE,10,ANDY ANAND COUTURE,4
AA9315,WHITE,12,ANDY ANAND COUTURE,3
AA9315,WHITE,14,ANDY ANAND COUTURE,1
AA9315,WHITE/IVORY,6,ANDY ANAND COUTURE,1
B8608,LILAC,8,MILANO FORMALS,9
B8608,LILAC,10,MILANO FORMALS,9
B8608,LILAC,12,MILANO FORMALS,6
B8608,LILAC,14,MILANO FORMALS,5
B8608,LILAC,18,MILANO FORMALS,3
B8608,LILAC,22,MILANO FORMALS,5
B8608,PINK,8,MILANO FORMALS,3
B8608,PINK,12,MILANO FORMALS,3
B8608,PINK,14,MILANO FORMALS,9
B8608,PINK,18,MILANO FORMALS,2
B8608,SKY BLUE,8,MILANO FORMALS,10
B8608,SKY BLUE,10,MILANO FORMALS,9
B8608,SKY BLUE,12,MILANO FORMALS,9
B8608,SKY BLUE,14,MILANO FORMALS,7
B8608,SKY BLUE,18,MILANO FORMALS,6
B8608,SKY BLUE,22,MILANO FORMALS,6
B8808,BLACK,30,MILANO FORMALS,1
B8808,IVORY,8,MILANO FORMALS,25
B8808,IVORY/BLACK,8,MILANO FORMALS,1
B8808,IVORY/NAVY,8,MILANO FORMALS,10
B8808,IVORY/NAVY,10,MILANO FORMALS,3
B8808,IVORY/NAVY,12,MILANO FORMALS,6
B8808,IVORY/NAVY,14,MILANO FORMALS,4
B8808,NAVY/IVORY,8,MILANO FORMALS,9
B8808,NAVY/IVORY,10,MILANO FORMALS,3
B8808,NAVY/IVORY,12,MILANO FORMALS,1
B8808,TRUFFLE,8,MILANO FORMALS,2
B8808,TRUFFLE,10,MILANO FORMALS,3
B8808,WHITE,4,MILANO FORMALS,1
B8865,BROWN,10,MILANO FORMALS,1
B8865,CLARET,4,MILANO FORMALS,6
B8865,CLARET,6,MILANO FORMALS,7
B8865,CLARET,8,MILANO FORMALS,3
B8865,CLARET,10,MILANO FORMALS,11
B8865,CLARET,12,MILANO FORMALS,1
B8865,CLARET,14,MILANO FORMALS,2
B8865,CLARET,16,MILANO FORMALS,1
B8865,CLARET,18,MILANO FORMALS,3
B8865,CLARET,22,MILANO FORMALS,5
B8865,CLARET,26,MILANO FORMALS,3
B8865,CLARET,34,MILANO FORMALS,4
B8865,CLARET,38,MILANO FORMALS,8
B8865,CLARET,40,MILANO FORMALS,2
B8865,IVORY,8,MILANO FORMALS,5
B8865,IVORY,10,MILANO FORMALS,8
B8865,IVORY,40,MILANO FORMALS,1
B8865,POOL,22,MILANO FORMALS,1
B8865,PURPLE,4,MILANO FORMALS,1
B8865,PURPLE,8,MILANO FORMALS,14
B8865,PURPLE,10,MILANO FORMALS,1
B8865,PURPLE,20,MILANO FORMALS,1
B8865,PURPLE,30,MILANO FORMALS,1
B8865,PURPLE,34,MILANO FORMALS,5
B8865,PURPLE,40,MILANO FORMALS,6
B8865,ROYAL,12,MILANO FORMALS,1
B8865,SAGE,38,MILANO FORMALS,3
B8865,SAGE,40,MILANO FORMALS,5
B8865,SANGRIA,2,MILANO FORMALS,1
B8865,SANGRIA,8,MILANO FORMALS,2
B8865,SANGRIA,30,MILANO FORMALS,1
B8865,SANGRIA,34,MILANO FORMALS,6
B8865,SANGRIA,38,MILANO FORMALS,7
B8865,SANGRIA,40,MILANO FORMALS,6
B8865,SILVER,8,MILANO FORMALS,1
B8865,SKY BLUE,38,MILANO FORMALS,4
B8865,SKY BLUE,40,MILANO FORMALS,4
B8865,TRUFFLE,4,MILANO FORMALS,7
B8865,TRUFFLE,6,MILANO FORMALS,5
B8865,TRUFFLE,8,MILANO FORMALS,29
B8865,TRUFFLE,10,MILANO FORMALS,2
B8865,TRUFFLE,12,MILANO FORMALS,12
B8865,TRUFFLE,14,MILANO FORMALS,1
B8865,TRUFFLE,20,MILANO FORMALS,1
B8865,TRUFFLE,22,MILANO FORMALS,1
B8865,TRUFFLE,24,MILANO FORMALS,3
B8865,TRUFFLE,26,MILANO FORMALS,2
B8865,TRUFFLE,28,MILANO FORMALS,1
B8865,TRUFFLE,30,MILANO FORMALS,1
B8865,TRUFFLE,34,MILANO FORMALS,2
B8865,WHITE,2,MILANO FORMALS,1
B8865,WHITE,4,MILANO FORMALS,4
B8865,WHITE,6,MILANO FORMALS,2
B8865,WHITE,8,MILANO FORMALS,7
B8865,WHITE,10,MILANO FORMALS,2
B8865,WHITE,12,MILANO FORMALS,7
B8865,WHITE,16,MILANO FORMALS,3
B8865,WHITE,20,MILANO FORMALS,1
B8865,WHITE,24,MILANO FORMALS,3
B8865,WHITE,28,MILANO FORMALS,2
B8865,WHITE,32,MILANO FORMALS,3
B8865,WHITE,34,MILANO FORMALS,2
B8865,WHITE,36,MILANO FORMALS,1
B8865,WHITE,40,MILANO FORMALS,2
B8998,APPLE RED,4,MILANO FORMALS,1
B8998,APPLE RED,10,MILANO FORMALS,2
B8998,APPLE RED,12,MILANO FORMALS,2
B8998,APPLE RED,14,MILANO FORMALS,3
B8998,APPLE RED,24,MILANO FORMALS,1
B8998,CHAMPAGNE,18,MILANO FORMALS,1
B8998,CLARET,4,MILANO FORMALS,9
B8998,CLARET,6,MILANO FORMALS,7
B8998,CLARET,8,MILANO FORMALS,4
B8998,CLARET,10,MILANO FORMALS,4
B8998,CLARET,16,MILANO FORMALS,6
B8998,CORAL,4,MILANO FORMALS,18
B8998,CORAL,6,MILANO FORMALS,5
B8998,CORAL,8,MILANO FORMALS,13
B8998,CORAL,10,MILANO FORMALS,3
B8998,CORAL,12,MILANO FORMALS,7
B8998,CORAL,14,MILANO FORMALS,1
B8998,CORAL,16,MILANO FORMALS,6
B8998,CORAL,22,MILANO FORMALS,1
B8998,CORAL,38,MILANO FORMALS,2
B8998,CORAL,40,MILANO FORMALS,1
B8998,LIGHT GREEN,2,MILANO FORMALS,1
B8998,LIGHT GREEN,8,MILANO FORMALS,8
B8998,POOL,4,MILANO FORMALS,1
B8998,POOL,8,MILANO FORMALS,4
B8998,POOL,10,MILANO FORMALS,5
B8998,POOL,12,MILANO FORMALS,3
B8998,POOL,14,MILANO FORMALS,1
B8998,RED,4,MILANO FORMALS,4
B8998,RED,6,MILANO FORMALS,1
B8998,RED,8,MILANO FORMALS,9
B8998,RED,10,MILANO FORMALS,6
B8998,RED,12,MILANO FORMALS,8
B8998,RED,20,MILANO FORMALS,1
B8998,ROYAL,4,MILANO FORMALS,2
B8998,ROYAL,6,MILANO FORMALS,5
B8998,ROYAL,8,MILANO FORMALS,2
B8998,ROYAL,12,MILANO FORMALS,2
B8998,SANGRIA,2,MILANO FORMALS,1
B8998,SANGRIA,4,MILANO FORMALS,4
B8998,SANGRIA,6,MILANO FORMALS,2
B8998,SANGRIA,8,MILANO FORMALS,4
B8998,SANGRIA,12,MILANO FORMALS,3
B8998,SANGRIA,14,MILANO FORMALS,1
B8998,SANGRIA,18,MILANO FORMALS,3
B8998,SANGRIA,20,MILANO FORMALS,3
B8998,SANGRIA,34,MILANO FORMALS,1
B8998,SANGRIA,38,MILANO FORMALS,1
B8998,TRUFFLE,8,MILANO FORMALS,9
B8998,TRUFFLE,10,MILANO FORMALS,1
B8998,TRUFFLE,12,MILANO FORMALS,2
B8998,WHITE,2,MILANO FORMALS,1
B8998,WHITE,4,MILANO FORMALS,15
B8998,WHITE,6,MILANO FORMALS,1
B8998,WHITE,8,MILANO FORMALS,16
B8998,WHITE,10,MILANO FORMALS,2
B8998,WHITE,12,MILANO FORMALS,2
B8998,WHITE,18,MILANO FORMALS,1
B8998,WINE,22,MILANO FORMALS,1
B9000,BURGUNDY,8,MILANO FORMALS,7
B9000,BURGUNDY,34,MILANO FORMALS,4
B9000,BURNT ORANGE,8,MILANO FORMALS,2
B9000,DUSTY PINK,8,MILANO FORMALS,15
B9000,DUSTY PINK,10,MILANO FORMALS,4
B9000,DUSTY PINK,12,MILANO FORMALS,3
B9000,DUSTY PINK,14,MILANO FORMALS,9
B9000,LILAC,8,MILANO FORMALS,16
B9000,LILAC,10,MILANO FORMALS,4
B9000,PURPLE,4,MILANO FORMALS,1
B9000,PURPLE,8,MILANO FORMALS,7
B9000,PURPLE,12,MILANO FORMALS,2
B9000,PURPLE,18,MILANO FORMALS,2
B9000,PURPLE,22,MILANO FORMALS,1
B9000,PURPLE,34,MILANO FORMALS,2
B9000,TRUFFLE,8,MILANO FORMALS,10
B9000,TRUFFLE,10,MILANO FORMALS,4
B9000,TRUFFLE,12,MILANO FORMALS,1
B9000,TRUFFLE,14,MILANO FORMALS,1
B9000,TRUFFLE,26,MILANO FORMALS,1
B9000,TRUFFLE,30,MILANO FORMALS,3
B9000,TRUFFLE,34,MILANO FORMALS,6
E1013,CLARET,10,MILANO FORMALS,7
E1013,FUCHSIA,4,MILANO FORMALS,1
E1013,FUCHSIA,10,MILANO FORMALS,2
E1013,LILAC,8,MILANO FORMALS,18
E1013,LILAC,12,MILANO FORMALS,2
E1013,LILAC,18,MILANO FORMALS,5
E1013,LILAC,22,MILANO FORMALS,1
E1013,LILAC,24,MILANO FORMALS,6
E1013,LILAC,30,MILANO FORMALS,2
E1013,PINK,4,MILANO FORMALS,1
E1013,SANGRIA,4,MILANO FORMALS,7
E1013,SANGRIA,6,MILANO FORMALS,1
E1013,SANGRIA,8,MILANO FORMALS,2
E1013,SANGRIA,10,MILANO FORMALS,2
E1013,SANGRIA,12,MILANO FORMALS,1
E1013,SANGRIA,24,MILANO FORMALS,1
E1013,SUNSHINE,10,MILANO FORMALS,1
E1013,SUNSHINE,12,MILANO FORMALS,3
E1013,SUNSHINE,14,MILANO FORMALS,5
E1013,SUNSHINE,20,MILANO FORMALS,5
E1013,SUNSHINE,22,MILANO FORMALS,3
E1013,TRUFFLE,4,MILANO FORMALS,2
E1013,TRUFFLE,6,MILANO FORMALS,4
E1013,TRUFFLE,8,MILANO FORMALS,5
E1013,TRUFFLE,10,MILANO FORMALS,5
E1013,TRUFFLE,12,MILANO FORMALS,11
E1013,TRUFFLE,16,MILANO FORMALS,1
E1013,TRUFFLE,20,MILANO FORMALS,7
E1013,TRUFFLE,24,MILANO FORMALS,4
E1168,BURGUNDY,6,MILANO FORMALS,1
E1168,BURGUNDY,8,MILANO FORMALS,5
E1168,BURGUNDY,10,MILANO FORMALS,3
E1168,LILAC,6,MILANO FORMALS,1
E1168,LILAC,20,MILANO FORMALS,1
E1168,LILAC,26,MILANO FORMALS,3
E1168,LILAC,30,MILANO FORMALS,3
E1168,NAVY,16,MILANO FORMALS,1
E1168,RED,12,MILANO FORMALS,1
E1168,SAGE,4,MILANO FORMALS,12
E1168,SAGE,6,MILANO FORMALS,7
E1168,SAGE,8,MILANO FORMALS,14
E1168,SAGE,10,MILANO FORMALS,3
E1168,SAGE,12,MILANO FORMALS,13
E1168,SAGE,16,MILANO FORMALS,7
E1168,SAGE,20,MILANO FORMALS,5
E1168,SAGE,24,MILANO FORMALS,7
E1168,SAGE,26,MILANO FORMALS,3
E1168,SAGE,30,MILANO FORMALS,3
E1168,TEAL,4,MILANO FORMALS,10
E1168,TEAL,6,MILANO FORMALS,4
E1168,TEAL,8,MILANO FORMALS,7
E1168,TEAL,16,MILANO FORMALS,8
E1168,TEAL,18,MILANO FORMALS,1
E1168,TEAL,20,MILANO FORMALS,3
E1168,TEAL,24,MILANO FORMALS,1
E1168,TRUFFLE,4,MILANO FORMALS,2
E1168,TRUFFLE,8,MILANO FORMALS,11
E1168,TRUFFLE,10,MILANO FORMALS,6
E1168,TRUFFLE,12,MILANO FORMALS,7
E1168,TRUFFLE,14,MILANO FORMALS,8
E1168,TRUFFLE,16,MILANO FORMALS,1
E1168,TRUFFLE,18,MILANO FORMALS,2
E1168,TRUFFLE,20,MILANO FORMALS,1
E1168,TRUFFLE,30,MILANO FORMALS,1
E1168,VICTORIA LILAC,14,MILANO FORMALS,1
E1168,VICTORIA LILAC,22,MILANO FORMALS,2
E1194,FUCHSIA,8,MILANO FORMALS,14
E1194,FUCHSIA,10,MILANO FORMALS,2
E1194,FUCHSIA,12,MILANO FORMALS,1
E1194,FUCHSIA,14,MILANO FORMALS,4
E1194,FUCHSIA,38,MILANO FORMALS,1
E1194,SKY BLUE,4,MILANO FORMALS,1
E1194,SKY BLUE,8,MILANO FORMALS,1
E1194,SKY BLUE,40,MILANO FORMALS,3
E1194,TEAL,4,MILANO FORMALS,6
E1194,TEAL,8,MILANO FORMALS,3
E1194,WHITE,8,MILANO FORMALS,1
E1260,CLARET,30,MILANO FORMALS,1
E1260,JADE,8,MILANO FORMALS,22
E1260,JADE,10,MILANO FORMALS,13
E1260,PINK,10,MILANO FORMALS,3
E1260,PINK,14,MILANO FORMALS,1
E1260,PURPLE,24,MILANO FORMALS,1
E1260,SKY BLUE,4,MILANO FORMALS,8
E1260,SKY BLUE,6,MILANO FORMALS,2
E1260,SKY BLUE,8,MILANO FORMALS,12
E1260,SKY BLUE,10,MILANO FORMALS,1
E1260,SKY BLUE,26,MILANO FORMALS,1
E1260,SKY BLUE,30,MILANO FORMALS,3
E1260,SKY BLUE,38,MILANO FORMALS,2
E1260,TRUFFLE,4,MILANO FORMALS,6
E1260,TRUFFLE,6,MILANO FORMALS,6
E1260,TRUFFLE,8,MILANO FORMALS,18
E1260,TRUFFLE,10,MILANO FORMALS,1
E1260,TRUFFLE,12,MILANO FORMALS,7
E1260,TRUFFLE,16,MILANO FORMALS,4
E1260,TRUFFLE,18,MILANO FORMALS,1
E1260,TRUFFLE,20,MILANO FORMALS,2
E1264,BLACK,0,MILANO FORMALS,5
E1264,BLACK,2,MILANO FORMALS,1
E1264,BLACK,4,MILANO FORMALS,4
E1264,BLACK,24,MILANO FORMALS,1
E1264,BLACK,30,MILANO FORMALS,1
E1264,BLACK,34,MILANO FORMALS,1
E1264,BLACK,38,MILANO FORMALS,1
E1264,BLACK,40,MILANO FORMALS,1
E1264,CLARET,2,MILANO FORMALS,2
E1264,CLARET,4,MILANO FORMALS,1
E1264,CLARET,8,MILANO FORMALS,2
E1264,CLARET,12,MILANO FORMALS,3
E1264,CLARET,14,MILANO FORMALS,1
E1264,CLARET,16,MILANO FORMALS,2
E1264,CLARET,18,MILANO FORMALS,2
E1264,CLARET,30,MILANO FORMALS,1
E1264,CLARET,32,MILANO FORMALS,2
E1264,CLARET,36,MILANO FORMALS,2
E1264,CLARET,38,MILANO FORMALS,3
E1264,CLARET,40,MILANO FORMALS,3
E1264,CORAL,4,MILANO FORMALS,4
E1264,CORAL,8,MILANO FORMALS,6
E1264,CORAL,10,MILANO FORMALS,1
E1264,CORAL,12,MILANO FORMALS,3
E1264,CORAL,14,MILANO FORMALS,1
E1264,CORAL,16,MILANO FORMALS,2
E1264,CORAL,18,MILANO FORMALS,1
E1264,CORAL,20,MILANO FORMALS,7
E1264,CORAL,24,MILANO FORMALS,6
E1264,CORAL,26,MILANO FORMALS,2
E1264,CORAL,30,MILANO FORMALS,3
E1264,CORAL,32,MILANO FORMALS,1
E1264,CORAL,34,MILANO FORMALS,3
E1264,CORAL,38,MILANO FORMALS,4
E1264,CORAL,40,MILANO FORMALS,4
E1264,LILAC,12,MILANO FORMALS,1
E1264,LILAC,18,MILANO FORMALS,1
E1264,LILAC,20,MILANO FORMALS,2
E1264,LILAC,24,MILANO FORMALS,1
E1264,LILAC,28,MILANO FORMALS,1
E1264,NAVY,8,MILANO FORMALS,3
E1264,NAVY,12,MILANO FORMALS,1
E1264,NAVY,14,MILANO FORMALS,1
E1264,ORANGE,8,MILANO FORMALS,1
E1264,SAGE,4,MILANO FORMALS,1
E1264,SILVER,16,MILANO FORMALS,1
E1264,TEAL,4,MILANO FORMALS,4
E1264,TEAL,8,MILANO FORMALS,3
E1264,TEAL,20,MILANO FORMALS,4
E1264,TEAL,24,MILANO FORMALS,5
E1264,TEAL,26,MILANO FORMALS,5
E1264,TEAL,28,MILANO FORMALS,6
E1264,TEAL,30,MILANO FORMALS,9
E1264,TEAL,32,MILANO FORMALS,6
E1264,TEAL,34,MILANO FORMALS,1
E1264,TEAL,36,MILANO FORMALS,4
E1264,TEAL,40,MILANO FORMALS,4
E1264,VICTORIA LILAC,34,MILANO FORMALS,1
E1270,CORAL,4,MILANO FORMALS,11
E1270,CORAL,6,MILANO FORMALS,4
E1270,CORAL,8,MILANO FORMALS,3
E1270,CORAL,10,MILANO FORMALS,1
E1270,CORAL,12,MILANO FORMALS,3
E1270,CORAL,20,MILANO FORMALS,1
E1270,CORAL,24,MILANO FORMALS,4
E1270,CORAL,28,MILANO FORMALS,1
E1270,CORAL,32,MILANO FORMALS,5
E1270,CORAL,36,MILANO FORMALS,4
E1270,CORAL,40,MILANO FORMALS,1
E1270,FUCHSIA,4,MILANO FORMALS,16
E1270,FUCHSIA,6,MILANO FORMALS,18
E1270,FUCHSIA,8,MILANO FORMALS,12
E1270,FUCHSIA,10,MILANO FORMALS,11
E1270,LILAC,4,MILANO FORMALS,3
E1270,PEACH,16,MILANO FORMALS,1
E1270,POOL,4,MILANO FORMALS,5
E1270,POOL,6,MILANO FORMALS,4
E1270,POOL,8,MILANO FORMALS,9
E1270,POOL,10,MILANO FORMALS,7
E1270,POOL,12,MILANO FORMALS,5
E1270,TEAL,2,MILANO FORMALS,1
E1270,TEAL,4,MILANO FORMALS,7
E1270,TEAL,6,MILANO FORMALS,7
E1270,TEAL,8,MILANO FORMALS,12
E1270,TEAL,10,MILANO FORMALS,5
E1270,TEAL,12,MILANO FORMALS,13
E1270,TEAL,14,MILANO FORMALS,1
E1270,TEAL,18,MILANO FORMALS,1
E1270,TEAL,24,MILANO FORMALS,4
E1285,CAFE,4,MILANO FORMALS,1
E1285,CAFE,12,MILANO FORMALS,1
E1285,CAFE,16,MILANO FORMALS,1
E1285,FUCHSIA,12,MILANO FORMALS,4
E1285,FUCHSIA,14,MILANO FORMALS,1
E1285,FUCHSIA,18,MILANO FORMALS,4
E1285,FUCHSIA,20,MILANO FORMALS,2
E1285,FUCHSIA,24,MILANO FORMALS,7
E1285,FUCHSIA,30,MILANO FORMALS,5
E1285,LILAC,12,MILANO FORMALS,5
E1285,LILAC,14,MILANO FORMALS,3
E1285,LILAC,16,MILANO FORMALS,6
E1285,LILAC,18,MILANO FORMALS,1
E1285,LILAC,20,MILANO FORMALS,2
E1285,LILAC,24,MILANO FORMALS,6
E1285,PINK,24,MILANO FORMALS,1
E1285,PURPLE,8,MILANO FORMALS,1
E1285,PURPLE,10,MILANO FORMALS,1
E1285,PURPLE,12,MILANO FORMALS,1
E1285,PURPLE,18,MILANO FORMALS,1
E1285,SAGE,10,MILANO FORMALS,1
E1285,SAGE,12,MILANO FORMALS,2
E1295,FUCHSIA,4,MILANO FORMALS,3
E1295,FUCHSIA,6,MILANO FORMALS,5
E1295,FUCHSIA,8,MILANO FORMALS,12
E1295,POOL,22,MILANO FORMALS,1
E1295,SAGE,8,MILANO FORMALS,1
E1295,SAGE,10,MILANO FORMALS,1
E1295,SAGE,12,MILANO FORMALS,1
E1295,TEAL,4,MILANO FORMALS,10
E1295,TEAL,8,MILANO FORMALS,7
E1295,TEAL,12,MILANO FORMALS,4
E1295,TEAL,14,MILANO FORMALS,3
E1295,TEAL,16,MILANO FORMALS,3
E1295,TEAL,20,MILANO FORMALS,14
E1295,TRUFFLE,4,MILANO FORMALS,19
E1295,TRUFFLE,6,MILANO FORMALS,5
E1295,TRUFFLE,8,MILANO FORMALS,13
E1295,TRUFFLE,10,MILANO FORMALS,6
E1295,TRUFFLE,12,MILANO FORMALS,17
E1295,TRUFFLE,16,MILANO FORMALS,8
E1295,TRUFFLE,20,MILANO FORMALS,5
E1295,TRUFFLE,24,MILANO FORMALS,1
E1295,WATERMELON,8,MILANO FORMALS,1
E1340,APPLE RED,4,MILANO FORMALS,2
E1340,APPLE RED,8,MILANO FORMALS,1
E1340,APPLE RED,14,MILANO FORMALS,1
E1340,BLACK,4,MILANO FORMALS,1
E1340,BLACK,6,MILANO FORMALS,5
E1340,BLACK,8,MILANO FORMALS,1
E1340,BLACK,10,MILANO FORMALS,1
E1340,BLACK,12,MILANO FORMALS,1
E1340,BLACK,16,MILANO FORMALS,1
E1340,CORAL,4,MILANO FORMALS,2
E1340,CORAL,8,MILANO FORMALS,1
E1340,CORAL,14,MILANO FORMALS,1
E1340,CORAL,18,MILANO FORMALS,1
E1340,POOL,4,MILANO FORMALS,2
E1340,POOL,8,MILANO FORMALS,2
E1340,POOL,10,MILANO FORMALS,4
E1340,PURPLE,4,MILANO FORMALS,9
E1340,PURPLE,8,MILANO FORMALS,11
E1340,PURPLE,10,MILANO FORMALS,12
E1340,PURPLE,12,MILANO FORMALS,1
E1340,PURPLE,18,MILANO FORMALS,1
E1340,RED,4,MILANO FORMALS,3
E1340,RED,12,MILANO FORMALS,2
E1340,RED,18,MILANO FORMALS,1
E1340,WHITE,4,MILANO FORMALS,5
E1340,WHITE,6,MILANO FORMALS,4
E1340,WHITE,8,MILANO FORMALS,7
E1340,WHITE,10,MILANO FORMALS,3
E1340,WHITE,12,MILANO FORMALS,9
E1340,WHITE,14,MILANO FORMALS,5
E1340,WHITE,16,MILANO FORMALS,1
E1371,APPLERED/WHITE,8,MILANO FORMALS,12
E1371,APPLERED/WHITE,10,MILANO FORMALS,9
E1371,APPLERED/WHITE,12,MILANO FORMALS,10
E1371,SAGE,8,MILANO FORMALS,1
E1371,SAGE,10,MILANO FORMALS,1
E1371,SAGE,14,MILANO FORMALS,1
E1371,TRUFFLE/WHITE,8,MILANO FORMALS,10
E1371,TRUFFLE/WHITE,10,MILANO FORMALS,8
E1371,TRUFFLE/WHITE,12,MILANO FORMALS,8
E1371,TRUFFLE/WHITE,18,MILANO FORMALS,2
E1371,TRUFFLE/WHITE,22,MILANO FORMALS,1
E1379,CORAL,4,MILANO FORMALS,4
E1379,CORAL,6,MILANO FORMALS,1
E1379,CORAL,8,MILANO FORMALS,4
E1379,CORAL,24,MILANO FORMALS,4
E1379,CORAL,28,MILANO FORMALS,2
E1379,NAVY,22,MILANO FORMALS,1
E1379,NAVY,28,MILANO FORMALS,1
E1379,PEACOCK,2,MILANO FORMALS,4
E1379,PEACOCK,4,MILANO FORMALS,9
E1379,PEACOCK,6,MILANO FORMALS,6
E1379,PEACOCK,8,MILANO FORMALS,12
E1379,PEACOCK,10,MILANO FORMALS,5
E1379,PEACOCK,18,MILANO FORMALS,2
E1379,SAGE,4,MILANO FORMALS,1
E1379,TEAL,4,MILANO FORMALS,1
E1379,TRUFFLE,4,MILANO FORMALS,8
E1379,TRUFFLE,6,MILANO FORMALS,1
E1379,TRUFFLE,8,MILANO FORMALS,19
E1379,TRUFFLE,10,MILANO FORMALS,11
E1379,WATERMELON,6,MILANO FORMALS,3
E1379,WATERMELON,10,MILANO FORMALS,2
E1379,WATERMELON,28,MILANO FORMALS,2
E1387,GREEN,4,MILANO FORMALS,8
E1387,GREEN,8,MILANO FORMALS,1
E1387,GREEN,12,MILANO FORMALS,1
E1387,PINK,4,MILANO FORMALS,2
E1387,PINK,8,MILANO FORMALS,7
E1387,PINK,10,MILANO FORMALS,3
E1387,PINK,12,MILANO FORMALS,2
E1387,PINK,16,MILANO FORMALS,2
E1387,PINK,18,MILANO FORMALS,1
E1387,PINK,20,MILANO FORMALS,4
E1387,PINK,22,MILANO FORMALS,2
E1387,PINK,24,MILANO FORMALS,8
E1387,PINK,26,MILANO FORMALS,1
E1387,TURQUOISE,2,MILANO FORMALS,1
E1387,TURQUOISE,4,MILANO FORMALS,12
E1387,TURQUOISE,8,MILANO FORMALS,7
E1387,TURQUOISE,24,MILANO FORMALS,4
E1391,CLARET,20,MILANO FORMALS,3
E1391,CLARET,22,MILANO FORMALS,1
E1391,CLARET,24,MILANO FORMALS,11
E1391,CLARET,28,MILANO FORMALS,2
E1391,PURPLE,2,MILANO FORMALS,1
E1391,PURPLE,4,MILANO FORMALS,12
E1391,PURPLE,6,MILANO FORMALS,5
E1391,PURPLE,8,MILANO FORMALS,16
E1391,PURPLE,10,MILANO FORMALS,1
E1391,PURPLE,12,MILANO FORMALS,2
E1391,PURPLE,20,MILANO FORMALS,3
E1391,PURPLE,24,MILANO FORMALS,11
E1391,PURPLE,26,MILANO FORMALS,1
E1391,PURPLE,28,MILANO FORMALS,4
E1391,ROYAL,2,MILANO FORMALS,1
E1391,ROYAL,4,MILANO FORMALS,5
