Handle,Color,Size,Brand,Quantity,Price,Description
NV7399,RED,8,MILANO FORMALS,4,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7399,ROYAL,0,MILANO FORMALS,3,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7399,ROYAL,2,MILANO FORMALS,2,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7399,ROYAL,4,MILANO FORMALS,1,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7399,ROYAL,6,MILANO FORMALS,1,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7399,ROYAL,8,MILANO FORMALS,1,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7399,ROYAL,10,MILANO FORMALS,1,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7400,RED,0,MILANO FORMALS,2,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.
NV7400,RED,2,MILANO FORMALS,6,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.
NV7400,RED,4,MILANO FORMALS,8,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.
NV7400,RED,6,MILANO FORMALS,5,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.
NV7400,RED,8,MILANO FORMALS,8,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.
NV7400,RED,10,MILANO FORMALS,3,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.
NV7400,RED,14,MILANO FORMALS,6,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.
NV7400,RED,18,MILANO FORMALS,2,249.0,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.
NV7439,NAVY,0,MILANO FORMALS,1,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.
NV7439,NAVY,2,MILANO FORMALS,2,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.
NV7439,NAVY,4,MILANO FORMALS,1,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.
NV7439,NAVY,6,MILANO FORMALS,5,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.
NV7439,NAVY,10,MILANO FORMALS,8,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.
NV7439,NAVY,12,MILANO FORMALS,1,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.
NV7439,NAVY,14,MILANO FORMALS,5,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.
NV7439,NAVY,18,MILANO FORMALS,1,249.0,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.
NV7442,NAVY,2,MILANO FORMALS,5,249.0,Elegant halter style dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.
NV7442,NAVY,4,MILANO FORMALS,1,249.0,Elegant halter style dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.
NV7442,NAVY,6,MILANO FORMALS,7,249.0,Elegant halter style dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.
NV7442,NAVY,10,MILANO FORMALS,12,249.0,Elegant halter style dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.
NV7442,NAVY,14,MILANO FORMALS,5,249.0,Elegant halter style dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.
NV7442,NAVY,18,MILANO FORMALS,3,249.0,Elegant halter style dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.
NV7445,GOLD,0,MILANO FORMALS,1,179.0,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion."
NV7445,GOLD,2,MILANO FORMALS,2,179.0,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion."
NV7445,GOLD,4,MILANO FORMALS,8,179.0,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion."
NV7445,GOLD,6,MILANO FORMALS,6,179.0,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion."
NV7445,GOLD,8,MILANO FORMALS,4,179.0,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion."
NV7445,GOLD,10,MILANO FORMALS,4,179.0,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion."
NV7445,GOLD,14,MILANO FORMALS,2,179.0,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion."
NV7445,GOLD,18,MILANO FORMALS,2,179.0,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion."
NV7448,RED,0,MILANO FORMALS,1,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.
NV7448,RED,4,MILANO FORMALS,2,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.
NV7448,RED,6,MILANO FORMALS,3,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.
NV7448,RED,8,MILANO FORMALS,2,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.
NV7448,RED,10,MILANO FORMALS,1,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.
NV7448,RED,12,MILANO FORMALS,2,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.
NV7449,RED,0,MILANO FORMALS,3,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7449,RED,2,MILANO FORMALS,5,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7449,RED,4,MILANO FORMALS,7,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7449,RED,6,MILANO FORMALS,7,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7449,RED,8,MILANO FORMALS,8,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7449,RED,10,MILANO FORMALS,3,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7450,BLACK/GREEN,0,MILANO FORMALS,1,199.0,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.
NV7450,BLACK/GREEN,2,MILANO FORMALS,3,199.0,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.
NV7450,BLACK/GREEN,4,MILANO FORMALS,6,199.0,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.
NV7450,BLACK/GREEN,6,MILANO FORMALS,4,199.0,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.
NV7452,BLACK,2,MILANO FORMALS,1,179.0,This Cinderella inspired dress has a bold sequin design on the bodice with accenting gems.
NV7452,ROYAL,0,MILANO FORMALS,1,179.0,This Cinderella inspired dress has a bold sequin design on the bodice with accenting gems.
NV7452,ROYAL,2,MILANO FORMALS,3,179.0,This Cinderella inspired dress has a bold sequin design on the bodice with accenting gems.
NV7452,ROYAL,4,MILANO FORMALS,8,179.0,This Cinderella inspired dress has a bold sequin design on the bodice with accenting gems.
NV7452,ROYAL,6,MILANO FORMALS,5,179.0,This Cinderella inspired dress has a bold sequin design on the bodice with accenting gems.
NV7452,ROYAL,8,MILANO FORMALS,2,179.0,This Cinderella inspired dress has a bold sequin design on the bodice with accenting gems.
NV7452,ROYAL BLUE,8,MILANO FORMALS,4,179.0,This Cinderella inspired dress has a bold sequin design on the bodice with accenting gems.
NV7454,GREEN,0,MILANO FORMALS,4,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.
NV7454,GREEN,2,MILANO FORMALS,5,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.
NV7454,GREEN,4,MILANO FORMALS,8,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.
NV7454,GREEN,6,MILANO FORMALS,5,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.
NV7454,GREEN,8,MILANO FORMALS,7,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.
NV7454,GREEN,10,MILANO FORMALS,3,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.
NV7454,GREEN,14,MILANO FORMALS,4,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.
NV7454,GREEN,18,MILANO FORMALS,2,189.0,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.
NV7455,RED,0,MILANO FORMALS,4,249.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7455,RED,2,MILANO FORMALS,5,249.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7455,RED,4,MILANO FORMALS,4,249.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7455,RED,6,MILANO FORMALS,5,249.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7455,RED,8,MILANO FORMALS,2,249.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.
NV7456,BLACK,0,MILANO FORMALS,4,225.0,This halter style little black dress is sure to fit any occasion with its beaded waist and peek-a-boo bust.
NV7456,BLACK,2,MILANO FORMALS,3,225.0,This halter style little black dress is sure to fit any occasion with its beaded waist and peek-a-boo bust.
NV7456,BLACK,4,MILANO FORMALS,4,225.0,This halter style little black dress is sure to fit any occasion with its beaded waist and peek-a-boo bust.
NV7456,BLACK,6,MILANO FORMALS,4,225.0,This halter style little black dress is sure to fit any occasion with its beaded waist and peek-a-boo bust.
NV7456,BLACK,8,MILANO FORMALS,4,225.0,This halter style little black dress is sure to fit any occasion with its beaded waist and peek-a-boo bust.
NV7456,BLACK,14,MILANO FORMALS,1,225.0,This halter style little black dress is sure to fit any occasion with its beaded waist and peek-a-boo bust.
NV7467,PRINT,0,MILANO FORMALS,6,225.0,Cute and bubbly floral print V-neck short dress. The waist has a double beaded band with sheer fabric in between to give this dress a two-piece look!
NV7467,PRINT,2,MILANO FORMALS,5,225.0,Cute and bubbly floral print V-neck short dress. The waist has a double beaded band with sheer fabric in between to give this dress a two-piece look!
NV7468,ROYAL,2,MILANO FORMALS,1,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7468,ROYAL,4,MILANO FORMALS,1,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7468,ROYAL,6,MILANO FORMALS,1,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7468,ROYAL,18,MILANO FORMALS,1,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7468,ROYAL BLUE,0,MILANO FORMALS,1,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7468,ROYAL BLUE,2,MILANO FORMALS,1,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7468,ROYAL BLUE,4,MILANO FORMALS,2,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7468,ROYAL BLUE,6,MILANO FORMALS,4,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7468,ROYAL BLUE,8,MILANO FORMALS,1,225.0,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.
NV7472,BLACK,0,MILANO FORMALS,2,199.0,Beautifully flowing strapless dress with multi-layered skirt. The bodice is sheer with a butterfly style detail that is perfect for that fairytale night
NV7472,BLACK,2,MILANO FORMALS,5,199.0,Beautifully flowing strapless dress with multi-layered skirt. The bodice is sheer with a butterfly style detail that is perfect for that fairytale night
NV7472,BLACK,4,MILANO FORMALS,5,199.0,Beautifully flowing strapless dress with multi-layered skirt. The bodice is sheer with a butterfly style detail that is perfect for that fairytale night
NV7472,BLACK,6,MILANO FORMALS,1,199.0,Beautifully flowing strapless dress with multi-layered skirt. The bodice is sheer with a butterfly style detail that is perfect for that fairytale night
NV7472,BLACK,8,MILANO FORMALS,2,199.0,Beautifully flowing strapless dress with multi-layered skirt. The bodice is sheer with a butterfly style detail that is perfect for that fairytale night
NV7472,BLACK,10,MILANO FORMALS,1,199.0,Beautifully flowing strapless dress with multi-layered skirt. The bodice is sheer with a butterfly style detail that is perfect for that fairytale night
NV7475,CHERRY,2,MILANO FORMALS,3,225.0,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure
NV7475,CHERRY,4,MILANO FORMALS,5,225.0,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure
NV7475,CHERRY,6,MILANO FORMALS,2,225.0,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure
NV7475,CHERRY,8,MILANO FORMALS,4,225.0,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure
NV7475,CHERRY,10,MILANO FORMALS,2,225.0,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure
NV7475,GREEN,6,MILANO FORMALS,2,225.0,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure
NV7475,GREEN,10,MILANO FORMALS,1,225.0,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure
NV7486,RED,0,MILANO FORMALS,3,249.0,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt Swen into the satin skirt.
NV7486,RED,2,MILANO FORMALS,1,249.0,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt Swen into the satin skirt.
NV7486,RED,4,MILANO FORMALS,5,249.0,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt Swen into the satin skirt.
NV7486,RED,6,MILANO FORMALS,5,249.0,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt Swen into the satin skirt.
NV7486,RED,10,MILANO FORMALS,1,249.0,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt Swen into the satin skirt.
NV7486,RED,12,MILANO FORMALS,2,249.0,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt Swen into the satin skirt.
NV7486,RED,14,MILANO FORMALS,2,249.0,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt Swen into the satin skirt.
NV7708,BLACK/GOLD,6,MILANO FORMALS,2,249.0,Elegant and Romantic black and gold cocktail dress that gives you that hourglass shape.
NV7708,BLACK/GOLD,8,MILANO FORMALS,6,249.0,Elegant and Romantic black and gold cocktail dress that gives you that hourglass shape.
NV7708,BLACK/GOLD,10,MILANO FORMALS,4,249.0,Elegant and Romantic black and gold cocktail dress that gives you that hourglass shape.
NV7708,BLACK/GOLD,12,MILANO FORMALS,6,249.0,Elegant and Romantic black and gold cocktail dress that gives you that hourglass shape.
NV7708,BLACK/GOLD,14,MILANO FORMALS,3,249.0,Elegant and Romantic black and gold cocktail dress that gives you that hourglass shape.
NV7744,FUCHSIA,4,MILANO FORMALS,1,299.0,PINK  ! Barbie Core cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin)
NV7744,FUCHSIA,6,MILANO FORMALS,1,299.0,PINK  ! Barbie Core cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin)
NV7744,FUCHSIA,8,MILANO FORMALS,5,299.0,PINK  ! Barbie Core cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin)
NV7744,FUCHSIA,10,MILANO FORMALS,5,299.0,PINK  ! Barbie Core cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin)
NV7744,FUCHSIA,12,MILANO FORMALS,6,299.0,PINK  ! Barbie Core cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin)
NV7744,FUCHSIA,14,MILANO FORMALS,5,299.0,PINK  ! Barbie Core cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin)
NV7744,FUCHSIA,16,MILANO FORMALS,3,299.0,PINK  ! Barbie Core cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin)
NV7772,FUCHSIA,0,MILANO FORMALS,4,158.0,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..
NV7772,FUCHSIA,2,MILANO FORMALS,6,158.0,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..
NV7772,FUCHSIA,4,MILANO FORMALS,4,158.0,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..
NV7772,FUCHSIA,6,MILANO FORMALS,10,158.0,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..
NV7772,FUCHSIA,8,MILANO FORMALS,3,158.0,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..
NV7772,FUCHSIA,10,MILANO FORMALS,4,158.0,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..
NV7772,FUCHSIA,14,MILANO FORMALS,5,158.0,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..
