Code,Price,Description,Photo,Handle,Uploaded,OWNER,,,,
E1439,239,"This stunning strapless teal dress combines a sleek, fitted bodice with elegant draping that flows gracefully into a knee-length skirt. The side floral detailing adds a touch of romance and charm, while the corset-style back offers both style and a tailored fit. Its shimmering fabric and refined silhouette make it an ideal choice for formal events, cocktail parties, or special occasions. The dress exudes sophistication with just the right amount of flair to make you stand out effortlessly.",https://ecomm-milano-images.s3.amazonaws.com/E1439_TEAL_1.jpg,NV8560,YES,PRASHANT,,,,
E1890,225,Jaw-dropping cocktail dress with fully see-through back accented with floral design. The front bodice is fully bedazzled with sequins.,https://ecomm-milano-images.s3.amazonaws.com/E1890_Black_1.jpg,NV8109,YES,,,,,
E1436,199,"This sleek and sophisticated dress in a rich, deep gray tone exudes timeless elegance. The form-fitting silhouette features delicate rouching across the bodice, accentuated by a sparkling brooch at the waist that adds a touch of glamour. With its thin spaghetti straps and draped fabric, this dress flatters the figure while offering a modern and graceful look. Perfect for evening events, weddings, or formal gatherings, it combines understated luxury with refined detail.",https://ecomm-milano-images.s3.amazonaws.com/E1436_VICTORIA_1.jpg,NV8563,YES,PRASHANT,,,,
E1391,120,"Sweetheart strapless short dress accented with a brooch like embellishment on waist. This dress features a right hand secret pocket. Color: Coral, Pool, V-Lilac Size : 4-24 This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..",https://ecomm-milano-images.s3.amazonaws.com/E1391_PURPLE_1.jpg,NV8608,YES,PRASHANT,,,,
E1983,249,Elegant short dress with mint blue overlay and scalloped bottom.,https://ecomm-milano-images.s3.amazonaws.com/E1983_Mint_1.jpg,NV8016,YES,,,,,
E1986,299,"Steal the show with the geometrically beaded bodice with cutouts to show off your waistline. The two-tone ribbon skirt makes this the ultimate party dress. Two colors (pool, pink)",https://ecomm-milano-images.s3.amazonaws.com/E1986_Tiffany_1.jpg,NV8013,YES,,,,,
E2075,299,This two-piece ensemble is sure to turn heads with its fully beaded halter style top and matching beaded belt sewn onto the skirt!,https://ecomm-milano-images.s3.amazonaws.com/E2075_Midnight_1.jpg,NV7924,YES,,,,,
E2225,225,Vibrant multicolored dress with shallow V-neckline and stunning midriff cutout making this a playfully elegant piece.,https://ecomm-milano-images.s3.amazonaws.com/E2225_Black-Green_3.jpg,NV7774,YES,,,,,
E1386,148,"This item is NOT RETURNABLE
Two-Piece Graphic Print Cocktail Dress by Milano FormalsMake it your turn in the spotlight wearing this two-piece cocktail dress from Milano Formals E2225. The cropped top is sleeveless with a V-neckline and light ruching at the fitted bodice. The midriff is exposed. The coordinating skirt boasts a graphic print with a skater silhouette and modest hem.",https://ecomm-milano-images.s3.amazonaws.com/E1386_PLUM_1.jpg,NV8613,YES,PRASHANT,,,,
E2255,299,PINK  ! Barbie Core cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin),https://ecomm-milano-images.s3.amazonaws.com/E2255_Fuschia_1.jpg,NV7744,YES,,,,,
E2291,249,Elegant and Romantic black and gold cocktail dress that gives you that hourglass shape.,https://ecomm-milano-images.s3.amazonaws.com/E2291_Black-Gold_1.jpg,NV7708,YES,,,,,
E2513,249,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt Swen into the satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2513_Red_1.jpg,NV7486,YES,,,,,
E1371,99,"Girly, flowy, Strapless chiffon dress roached to one side connecting a rose style accent. The satin belt accentuates your waist while you dance the night away. 6 Colors! (Truffle, Peacock, Watermelon, Sage, Navy, Teal/peacock, Coral)",https://ecomm-milano-images.s3.amazonaws.com/E1371_APPLE_RED_WHITE_1.jpg,NV8628,YES,PRASHANT,,,,
E2527,199,Beautifully flowing strapless dress with multi-layered skirt. The bodice is sheer with a butterfly style detail that is perfect for that fairytale night,https://ecomm-milano-images.s3.amazonaws.com/E2527_Black_1.jpg,NV7472,YES,,,,,
E2531,225,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.,https://ecomm-milano-images.s3.amazonaws.com/E2531_Royal_1.jpg,NV7468,YES,,,,,
E2532,225,Cute and bubbly floral print V-neck short dress. The waist has a double beaded band with sheer fabric in between to give this dress a two-piece look!,https://ecomm-milano-images.s3.amazonaws.com/E2532_Print_1.jpg,NV7467,YES,,,,,
E2543,225,This halter style little black dress is sure to fit any occasion with its beaded waist and peek-a-boo bust.,https://ecomm-milano-images.s3.amazonaws.com/E2543_Black_1.jpg,NV7456,YES,,,,,
E2544,249,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2544_Red_1.jpg,NV7455,YES,,,,,
E2545,189,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,NV7454,YES,,,,,
E2547,179,This Cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,NV7452,YES,,,,,
E2549,199,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2549_Black Green_1.jpg,NV7450,YES,,,,,
E2550,189,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2550_Red_1.jpg,NV7449,YES,,,,,
E2551,179,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2551_Red_1.jpg,NV7448,YES,,,,,
E2554,179,"Two piece halter style, peek-a-boo top and matching chiffon skirt. The skirt has a satin sewn on belt while the top has a lace overlay look perfect for any occasion.",https://ecomm-milano-images.s3.amazonaws.com/E2554_Gold_1.jpg,NV7445,YES,,,,,
E1334,275,,#N/A,NV8665,NO,CAILIN,,,,
E2560,249,Fully beaded halter style bodice with see through black mesh to give that peek-a-boo look. The skirt portion of the dress is multi-layered giving this piece a flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2560_Navy_1.jpg,NV7439,YES,,,,,
E1312,199,Head turning strapless belted little red satin dress!,https://ecomm-milano-images.s3.amazonaws.com/E1312_SUNSHINE_1.jpg,NV8687,YES,CAILIN,,,,
E1118,199,"This stunning strapless dress in a delicate lilac color exudes timeless elegance. The pleated bodice adds texture and sophistication, while the black belt cinches the waist for a flattering silhouette. Its minimalist yet chic design makes it perfect for formal occasions or evening events, offering a graceful balance of modern style and classic charm. The soft fabric and elegant flow ensure you�ll make a lasting impression wherever you go.",https://ecomm-milano-images.s3.amazonaws.com/E1118_LILAC_1.jpg,NV8881,NO,PRASHANT,,,,
E2601,199,Stunning emerald green strapless cocktail dress with corset style lace up back,https://ecomm-milano-images.s3.amazonaws.com/E2601_Emerald_1.jpg,NV7398,YES,,,,,
E2602,225,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,NV7397,YES,,,,,
