STYLE NO.,COLOR,QUANTITY,Photo
B8401,Skyblue,3.0,no
B8472,Sage,1.0,no
B8486,Black,1.0,no
B8486,Blackfuchsia,42.0,no
B8486,Blacklilac,114.0,no
B8486,Blacklime,4.0,no
B8506,Pink,5.0,no
B8581,Pink,1.0,no
B8588,Skyblue,1.0,yes
B8588,Skyblueblack,11.0,no
B8588,Fuchsia,11.0,yes
B8588,Pink,3.0,yes
B8608,Pink,17.0,yes
B8608,Skyblue,47.0,yes
B8608,Lilac,37.0,yes
B8621,Blacklilac,1.0,no
B8621,Blackskyblue,2.0,no
B8622,Lilac,4.0,no
B8654,Fuchsia,1.0,no
B8660,Melon,10.0,no
B8661,Orange,24.0,no
B8667,Yellow,17.0,no
B8680,Melon,1.0,no
B8691,Melon,31.0,no
B8716,Fuchsia,8.0,no
B8749,Green,52.0,no
B8751,Brown,1.0,no
B8808,Ivory,25.0,yes
B8808,Ivoryblack,1.0,no
B8808,Ivorynavy,23.0,no
B8808,Navyivory,13.0,no
B8808,Truffle,5.0,yes
B8808,White,1.0,yes
B8808,Black,1.0,yes
B8859,Black,1.0,no
B8865,Silver,1.0,yes
B8865,Skyblue,8.0,yes
B8865,Truffle,67.0,yes
B8865,Sangria,23.0,yes
B8865,White,40.0,yes
B8865,Sage,8.0,no
B8865,Royal,1.0,yes
B8865,Purple,29.0,yes
B8865,Pool,1.0,yes
B8865,Ivory,14.0,yes
B8865,Claret,56.0,yes
B8865,Brown,1.0,no
B8894,Brownchampagne,1.0,no
B8894,Champagnenavy,2.0,no
B8895,Coral,5.0,no
B8896,Trufflewhite,2.0,no
B8896,Silver,4.0,no
B8896,Truffle,2.0,no
B8896,Navy,1.0,no
B8896,Lilacwhite,1.0,no
B8896,Purplewhite,2.0,no
B8898,Coral,1.0,no
B8921,Lightgreen,8.0,no
B8921,Truffle,2.0,no
B8921,Violet,9.0,no
B8940,Truffle,2.0,no
B8967,Green,2.0,no
B8968,Green,1.0,no
B8998,Royal,11.0,yes
B8998,White,38.0,yes
B8998,Truffle,12.0,yes
B8998,Sangria,23.0,yes
B8998,Red,29.0,yes
B8998,Wine,1.0,yes
B8998,Lightgreen,9.0,no
B8998,Coral,57.0,yes
B8998,Claret,30.0,yes
B8998,Champagne,1.0,yes
B8998,Applered,9.0,no
B8998,Pool,14.0,yes
B9000,Truffle,26.0,no
B9000,Purple,15.0,no
B9000,Lilac,20.0,no
B9000,Burntorange,2.0,no
B9000,Burgundy,11.0,no
B9000,Dustypink,31.0,no
B9312,Ivory,1.0,no
B9314,White,1.0,no
BD 2006/741,Purple,2.0,no
BD2001744,Brown,1.0,no
BD2006/10,Beige,7.0,no
BD2006/183,Midnightblue,11.0,no
BD2006/200,,42.0,no
BD2006/200,Black,2.0,no
BD2006/24,Black,35.0,no
BD2006/344,Olivegreen,39.0,no
BD2006/413,,18.0,no
BD2006/502,Offwhite,22.0,no
BD2006/502,,2.0,no
BD2006/66,Black,46.0,no
BD2006/741,,13.0,no
BD2006/741,Purple,25.0,no
BD2006/7412,Black,1.0,no
BD2006/972,Wine,1.0,no
BD2007/09,,2.0,no
BD2007/10,Coffee,1.0,no
BD2007/10,Gold,1.0,no
BD2007/101,,6.0,no
BD2007/182,,22.0,no
BD2007/183,Blackgrey,1.0,no
BD2007/183,Grey,2.0,no
BD2007/4117,,2.0,no
BD2007/417,,11.0,no
E0021,Coral,1.0,no
E1013,Claret,7.0,yes
E1013,Fuchsia,3.0,yes
E1013,Lilac,34.0,yes
E1013,Pink,1.0,yes
E1013,Sangria,14.0,yes
E1013,Sunshine,17.0,yes
E1013,Truffle,39.0,yes
E1018,Orange,10.0,no
E1022,Purple,14.0,yes
E1022,Sunrise,1.0,no
E1022,Sunshine,1.0,yes
E1024,Truffle,21.0,no
E1024,Persimmon,34.0,no
E1024,Lilac,6.0,no
E1024,Banana,26.0,no
E1024,Mint,18.0,no
E1025,Navy,1.0,no
E1028,White,2.0,yes
E1032,Black,4.0,yes
E1032,Pistachio,14.0,yes
E1032,Sunshine,36.0,yes
E1044,Darkceladon,1.0,no
E1064,Charcoal,12.0,no
E1064,Mint,10.0,no
E1068,Kiwi,28.0,no
E1068,Burgundy,26.0,no
E1068,Victorialilac,7.0,no
E1071,Truffle,17.0,yes
E1071,Peachfizz,8.0,no
E1089,Sunshine,13.0,no
E1089,Coral,10.0,no
E1089,Peach,28.0,no
E1118,Coral,19.0,yes
E1118,Lilac,36.0,yes
E1118,Purple,5.0,yes
E1119,Burgundy,31.0,no
E1119,Champagne,15.0,no
E1119,Victorialilac,55.0,no
E1127,Darkpink,9.0,no
E1127,Truffle,34.0,no
E1168,Victorialilac,3.0,no
E1168,Truffle,39.0,yes
E1168,Teal,34.0,yes
E1168,Sage,74.0,no
E1168,Navy,1.0,yes
E1168,Lilac,8.0,yes
E1168,Burgundy,9.0,yes
E1168,Red,1.0,yes
E1170,Apricot,1.0,no
E1194,Fuchsia,22.0,no
E1194,Skyblue,5.0,no
E1194,Teal,9.0,no
E1194,White,1.0,no
E1201,Wine,1.0,no
E12126,Black,1.0,no
E1244,Black,1.0,no
E1250,Coral,3.0,no
E1259,Skyblue,15.0,yes
E1259,White,1.0,yes
E1259,Gold,2.0,yes
E1259,Pink,2.0,yes
E1260,Claret,1.0,yes
E1260,Jade,35.0,no
E1260,Pink,4.0,yes
E1260,Purple,1.0,yes
E1260,Skyblue,29.0,yes
E1260,Truffle,45.0,yes
E1264,Victorialilac,1.0,no
E1264,Teal,51.0,yes
E1264,Sage,1.0,no
E1264,Orange,1.0,no
E1264,Silver,1.0,yes
E1264,Lilac,6.0,yes
E1264,Coral,48.0,yes
E1264,Claret,24.0,yes
E1264,Black,15.0,yes
E1264,Navy,5.0,yes
E1265,Blue,5.0,yes
E1265,Coffee,2.0,no
E1265,Green,4.0,yes
E1270,Teal,52.0,yes
E1270,Pool,30.0,yes
E1270,Peach,1.0,yes
E1270,Coral,38.0,yes
E1270,Fuchsia,57.0,yes
E1270,Lilac,3.0,yes
E1275,Darklilac,2.0,yes
E1278,Grey,10.0,no
E1285,Sage,3.0,no
E1285,Pink,1.0,yes
E1285,Purple,4.0,yes
E1285,Fuchsia,23.0,yes
E1285,Lilac,23.0,yes
E1285,Cafe,3.0,yes
E1294,Teal,8.0,no
E1295,Fuchsia,20.0,yes
E1295,Pool,1.0,yes
E1295,Sage,3.0,no
E1295,Teal,41.0,yes
E1295,Truffle,74.0,yes
E1295,Watermelon,1.0,yes
E1303,Grey,5.0,no
E1312,Claret,33.0,yes
E1312,Sangria,2.0,yes
E1312,Silver,1.0,yes
E1312,Sunshine,18.0,yes
E1319,Whiteblack,12.0,yes
E1319,Purple,1.0,yes
E1322,Purple,19.0,yes
E1326,Navy,11.0,no
E1327,Black,7.0,yes
E1333,Teal,6.0,no
E1334,Fuchsia,33.0,no
E1336,Lilac,7.0,yes
E1336,Purple,1.0,yes
E1340,Applered,4.0,no
E1340,Black,10.0,yes
E1340,Coral,5.0,yes
E1340,Pool,8.0,yes
E1340,Purple,34.0,yes
E1340,Red,6.0,yes
E1340,White,34.0,yes
E1342,Fuchsia,6.0,yes
E1344,Yellow,20.0,yes
E1347,Blue,6.0,yes
E1348,Platinum,7.0,yes
E1350,White,2.0,no
E1354,Lilac,17.0,yes
E1355,Yellow,1.0,no
E1356,Skyblue,1.0,yes
E1356,Truffle,16.0,yes
E1356,Coral,3.0,yes
E1369,Purple,2.0,no
E1371,Appleredwhite,31.0,no
E1371,Sage,3.0,no
E1371,Trufflewhite,29.0,no
E1378,Red,9.0,yes
E1379,Truffle,39.0,yes
E1379,Watermelon,7.0,yes
E1379,Teal,1.0,yes
E1379,Navy,2.0,yes
E1379,Peacock,38.0,yes
E1379,Coral,15.0,yes
E1379,Sage,1.0,no
E1381,Purple,30.0,yes
E1385,Red,3.0,no
E1386,Lilac,7.0,yes
E1386,Plum,10.0,yes
E1387,Green,10.0,no
E1387,Pink,32.0,no
E1387,Turquoise,24.0,no
E1391,Purple,55.0,yes
E1391,Claret,17.0,yes
E1391,Royal,13.0,yes
E1396,Purple,2.0,yes
E1412,Black,45.0,no
E1412,Brown,86.0,no
E1412,Royal,48.0,no
E1420,Champagne,6.0,yes
E1420,Purple,21.0,yes
E1420,Royal,57.0,yes
E1420,Seablack,1.0,no
E1421,Coral,46.0,yes
E1421,Grey,22.0,yes
E1421,Royal,11.0,yes
E1421,Silver,3.0,yes
E1422,Purple,32.0,yes
E1424,Teal,13.0,yes
E1428,Purple,5.0,yes
E1431,Coral,1.0,no
E1436,Pool,7.0,yes
E1436,Victoria,16.0,yes
E1438,Black,9.0,yes
E1439,Emerald,12.0,yes
E1439,Grey,1.0,yes
E1439,Teal,21.0,yes
E1442,Black,4.0,no
E1448,Purpleblack,3.0,yes
E1449,Silver,2.0,no
E1452,Purple,20.0,yes
E1462,Skyblue,6.0,no
E1463,Teal,42.0,yes
E1463,Truffle,37.0,yes
E1463,Coral,25.0,yes
E1465,Purple,2.0,no
E1467,Gold,11.0,yes
E1470,Gold,21.0,no
E1470,Peach,3.0,no
E1472,Royal,1.0,yes
E1497,Purple,1.0,no
E1502,Claret,30.0,yes
E1502,Ivory,19.0,yes
E1502,Navy,36.0,yes
E1502,Pool,1.0,yes
E1502,Red,2.0,yes
E1503,Skyblue,5.0,no
E1507,Watermelon,4.0,no
E1508,Nude,1.0,yes
E1510,White,19.0,yes
E1510,Whiteblue,3.0,yes
E1513,Coral,7.0,no
E1520,Burntorange,77.0,yes
E1520,Sangria,18.0,yes
E1524,Teal,11.0,no
E1531,Coral,45.0,yes
E1531,Pool,30.0,yes
E1531,Purple,45.0,yes
E1537,Black,3.0,no
E1538,Sage,13.0,no
E1540,Bluepink,2.0,no
E1544,Red,31.0,yes
E1544,Black,35.0,yes
E1546,Peach,1.0,yes
E1546,Purple,7.0,yes
E1546,Black,18.0,yes
E1546,Coral,21.0,yes
E1548,Pink,1.0,no
E1552,Black,10.0,no
E1573,Black,25.0,yes
E1573,Burgundy,1.0,yes
E1573,Coral,3.0,yes
E1573,Peach,7.0,yes
E1573,Purple,14.0,yes
E1573,Royal,1.0,yes
E1573,Skyblue,1.0,yes
E1573,Teal,1.0,yes
E1579,White,8.0,yes
E1581,Red,21.0,yes
E1581,Purple,24.0,yes
E1581,Claret,1.0,yes
E1581,Black,9.0,yes
E1582,Burgundy,3.0,yes
E1582,Fuchsia,60.0,yes
E1582,Green,1.0,yes
E1582,Purple,11.0,yes
E1582,Teal,98.0,yes
E1583,Teal,2.0,no
E1586,Purple,1.0,no
E1591,Purple,7.0,no
E1593,Pool,6.0,no
E1596,Purple,7.0,yes
E1605,Purple,24.0,no
E1636,Black,1.0,no
E1637,Blacknude,1.0,yes
E1637,Black,2.0,yes
E1655,Fuchsia,1.0,no
E1656,Lavender,1.0,no
E1657,Black,48.0,yes
E1657,Lavender,3.0,yes
E1657,Teal,55.0,yes
E1663,Fuchsia,22.0,yes
E1663,Navy,31.0,yes
E1663,Purple,28.0,yes
E1672,Royal,9.0,yes
E1672,Skyblue,43.0,yes
E1676,Bluefuchsia,1.0,no
E1676,Bluepink,24.0,no
E1683,White,1.0,no
E1685,Fuchsia,10.0,yes
E1694,Teal,1.0,yes
E1696,Black,72.0,yes
E1696,Bluepink,2.0,no
E1696,Coral,41.0,yes
E1696,Red,3.0,yes
E1696,Royal,21.0,yes
E1696,Teal,1.0,yes
E1697,Teal,1.0,no
E1698,Coral,2.0,no
E1715,Skyblue,5.0,yes
E1716,Purple,1.0,no
E1729,Mint,30.0,yes
E1729,Ivory,30.0,yes
E1729,Pink,2.0,yes
E1729,Banana,1.0,no
E1729,Fuchsia,41.0,yes
E1729,Print,3.0,yes
E1730,Royal,9.0,yes
E1730,Charcoal,39.0,yes
E1730,Burntorange,33.0,yes
E1730,Blue,5.0,yes
E1745,Turquoisegreen,12.0,no
E1753,Turquoise,1.0,no
E1761,Red,1.0,no
E1762,Purple,27.0,no
E1767,Black,1.0,yes
E1767,Blacksilver,2.0,yes
E1774,Powderblue,1.0,yes
E1778,Navy,3.0,yes
E1786,Purple,1.0,no
E1795,Biscotti,6.0,yes
E1795,Ivory,1.0,yes
E1795,Navy,8.0,yes
E1796,Navy,25.0,yes
E1796,Lavender,2.0,yes
E1796,Black,13.0,yes
E1796,Biscotti,41.0,yes
E1796,Ivory,1.0,yes
E1799,Fuchsia,8.0,yes
E1799,Green,1.0,yes
E1799,Grey,1.0,yes
E1799,Lilac,68.0,yes
E1799,Teal,47.0,yes
E1809,Orange,19.0,no
E1822,Ivory,7.0,yes
E1822,Peach,40.0,yes
E1824,Pool,2.0,yes
E1827,Black,16.0,yes
E1829,Black,6.0,no
E1831,Red,1.0,no
E1833,Purplegold,2.0,yes
E1838,Black,3.0,yes
E1838,Teal,19.0,yes
E1844,Mint,2.0,yes
E1849,Black,2.0,no
E1852,Burgundy,5.0,yes
E1852,Charcoal,10.0,yes
E1852,Fuchsia,1.0,yes
E1852,Pink,11.0,yes
E1852,Red,2.0,yes
E1855,Navy,1.0,no
E1857,Navy,1.0,no
E1861,Red,1.0,no
E1868,Champagne,5.0,yes
E1875,Black,17.0,no
E1877,Navy,2.0,no
E1879,Purple,9.0,no
E1882,Royal,1.0,yes
E1885,Navy,1.0,no
E1890,Black,13.0,yes
E1891,Purple,25.0,yes
E1892,Navynude,1.0,no
E1892,Nudeivory,1.0,no
E1893,Black,13.0,no
E1895,Black,6.0,no
E1896,Poolwhite,20.0,no
E1904,Black,6.0,no
E1907,Charcoal,1.0,yes
E1908,Skyblue,36.0,no
E1909,Grey,3.0,no
E1909,Skyblue,1.0,no
E1909,Green,1.0,no
E1910,Skyblue,1.0,no
E1911,Navy,53.0,yes
E1918,Bottlegreen,2.0,no
E1918,Green,22.0,no
E1923,Navy,1.0,yes
E1930,Black,4.0,no
E1931,Navy,37.0,yes
E1937,Black,5.0,yes
E1939,Teal,3.0,no
E1940,Gunmetal,2.0,yes
E1942,Royal,37.0,no
E1946,Navy,4.0,no
E1947,Royal,5.0,no
E1948,Black,1.0,no
E1950,Black,3.0,no
E1954,Plum,16.0,no
E1965,Sangria,4.0,yes
E1967,Teal,6.0,yes
E1968,Black,2.0,no
E1974,Mint,2.0,yes
E1978,Gunmetal,1.0,yes
E1979,Midnight,1.0,yes
E1981,Black,2.0,yes
E1981,Royal,1.0,yes
E1982,Charcoal,1.0,yes
E1983,Mint,11.0,yes
E1984,,5.0,no
E1986,Pool,15.0,yes
E1988,Royalblue,7.0,yes
E1988,Royal,2.0,yes
E2003,Blue,1.0,no
E2016,Red,1.0,yes
E2016,Royal,2.0,yes
E2018,Green,6.0,no
E2018,Peacock,4.0,no
E2018,Peacockgreen,6.0,no
E2019,Blue,5.0,yes
E2020,Pool,3.0,yes
E2021,Wine,6.0,yes
E2023,Tiffany,1.0,yes
E2023,Turquoise,4.0,yes
E2025,Wine,1.0,yes
E2027,Wine,37.0,yes
E2028,Jetcobalt,3.0,no
E2028,Black,1.0,yes
E2030,Fuchsia,13.0,yes
E2031,Black,8.0,yes
E2032,Teal,1.0,yes
E2034,Berry,12.0,yes
E2035,Blackgunmetal,1.0,no
E2035,Jet,6.0,yes
E2036,Emerald,1.0,yes
E2036,Green,7.0,yes
E2039,Powderblue,3.0,yes
E2040,Midnight,2.0,yes
E2041,Ivory,9.0,yes
E2042,Burgundy,2.0,yes
E2042,Wine,18.0,yes
E2043,Rosequartz,1.0,yes
E2043,Coral,1.0,yes
E2046,White,2.0,yes
E2046,Navy,8.0,yes
E2046,Rose,13.0,yes
E2048,Navy,2.0,no
E2049,Platinum,11.0,yes
E2050,Blueblack,6.0,no
E2053,Navy,10.0,yes
E2053,Peacock,2.0,yes
E2053,Teal,4.0,yes
E2057,Blush,1.0,no
E2059,Royal,17.0,yes
E2060,Midnight,21.0,yes
E2061,Black,19.0,yes
E2067,Blackburgundy,12.0,yes
E2068,Floralprint,1.0,no
E2068,Midnight,2.0,yes
E2069,Red,1.0,yes
E2070,Apricot,3.0,yes
E2070,Peach,1.0,yes
E2072,Black,8.0,yes
E2073,Blue,1.0,no
E2074,Navy,1.0,yes
E2075,Midnight,22.0,yes
E2076,Midnight,5.0,yes
E2076,Navy,2.0,yes
E2076,Wine,2.0,yes
E2078,Burgundy,5.0,no
E2079,Navy,3.0,no
E2080,Black,20.0,yes
E2080,Cobalt,1.0,yes
E2081,Navy,31.0,yes
E2082,Black,12.0,no
E2084,Black,15.0,yes
E2085,Charcoal,1.0,yes
E2086,Brown,1.0,no
E2086,Burgundy,1.0,yes
E2086,Wine,1.0,yes
E2087,Dirtyrose,12.0,no
E2087,Rose,1.0,yes
E2087,Rosequartz,7.0,yes
E2088,Black,3.0,yes
E2088,Burgundy,21.0,yes
E2088,Dustyrose,1.0,no
E2088,White,1.0,yes
E2088,Wine,7.0,yes
E2096,Whiteblack,3.0,yes
E2097,Mint,3.0,yes
E2100,Midnight,7.0,yes
E2101,Wine,21.0,yes
E2102,Black,5.0,yes
E2104,Black,8.0,yes
E2106,Babyblue,33.0,no
E2106,Skyblue,22.0,no
E2107,Lavender,42.0,yes
E2107,Navy,16.0,yes
E2109,Red,1.0,yes
E2110,Black,4.0,yes
E2111,Mint,1.0,no
E2114,Royal,12.0,yes
E2114,Royalblue,14.0,yes
E2118,Fuchsia,8.0,yes
E2121,Midnight,1.0,yes
E2125,Navy,1.0,yes
E2126,Black,26.0,no
E2128,Champagne,1.0,no
E2136,Black,15.0,yes
E2136,Navy,9.0,yes
E2142,Purple,13.0,no
E2144,Mint,10.0,yes
E2148,Purple,1.0,no
E2150,Black,2.0,yes
E2152,Red,1.0,yes
E2158,Gold,6.0,yes
E2158,Ivory,11.0,yes
E2158,Silver,3.0,yes
E2160,Whiteprint,3.0,yes
E2160,Skyblue,12.0,yes
E2160,Royal,1.0,yes
E2160,Fuchsia,3.0,yes
E2161,Red,2.0,yes
E2162,Rainbow,12.0,yes
E2165,Fuchsia,9.0,yes
E2171,Blue,2.0,yes
E2171,Lightblue,24.0,no
E2171,Skyblue,8.0,yes
E2180,Wine,1.0,no
E2182,Navy,3.0,yes
E2196,Red,1.0,no
E2204,Black,1.0,yes
E2210,Silver,16.0,yes
E2213,Navy,1.0,yes
E2225,Blackgreen,24.0,yes
E2225,Black,1.0,yes
E2227,Fuchsia,39.0,yes
E2229,Ivory,6.0,yes
E2231,Blue,1.0,yes
E2233,Gold,2.0,yes
E2233,White,3.0,yes
E2241,Black,15.0,yes
E2241,Ivory,13.0,yes
E2243,Blackred,20.0,yes
E2243,Redblack,1.0,no
E2244,Black,11.0,yes
E2245,Blackgreen,25.0,yes
E2246,Gold,1.0,no
E2251,Red,8.0,yes
E2251,Charcoal,3.0,yes
E2252,Purple,32.0,yes
E2253,Print,1.0,yes
E2253,Red,44.0,yes
E2254,Navy,3.0,yes
E2255,Fuchsia,26.0,yes
E2256,Black,1.0,yes
E2256,Royal,2.0,yes
E2257,Wine,6.0,yes
E2258,Charcoal,4.0,yes
E2259,Wine,7.0,yes
E2262,Black,7.0,yes
E2267,Royalblue,1.0,yes
E2269,Nude,9.0,yes
E2275,Royal,8.0,yes
E2276,Gold,1.0,yes
E2279,Burgundy,4.0,yes
E2280,Pink,6.0,yes
E2281,Purple,31.0,yes
E2282,Yellow,9.0,yes
E2287,Coral,1.0,yes
E2289,Lavender,1.0,yes
E2289,Purple,2.0,yes
E2291,Blackgold,21.0,yes
E2292,Red,8.0,yes
E2296,Greenpurple,2.0,yes
E2301,Black,2.0,no
E2301,Grey,1.0,no
E2317,Navy,4.0,yes
E2318,Blue,6.0,yes
E2320,Multi,2.0,yes
E2322,Peal,1.0,no
E2322,Teal,10.0,yes
E2322,Blush,18.0,yes
E2324,Pink,10.0,yes
E2326,Blackred,1.0,yes
E2327,Blackred,2.0,yes
E2327,Red,1.0,yes
E2327,Redblack,7.0,no
E2328,Black,4.0,yes
E2329,Black,9.0,yes
E2331,Red,7.0,yes
E2333,Navy,4.0,yes
E2334,Print,1.0,yes
E2335,Royal,9.0,yes
E2336,Rose,7.0,yes
E2340,Rose,2.0,yes
E2344,Blacknude,13.0,yes
E2346,Gold,4.0,yes
E2356,Blackprint,1.0,yes
E2360,Purpleprint,4.0,yes
E2366,Blackgold,18.0,yes
E2385,Goldblack,13.0,no
E2388,Blackgreen,1.0,yes
E2389,Purple,5.0,yes
E2394,Ivoryprint,3.0,yes
E2395,Red,3.0,yes
E24,,1.0,no
E2401,Nudeivory,1.0,no
E2403,Black,17.0,yes
E2403,Silver,5.0,yes
E2405,Black,6.0,yes
E2410,Nudeivory,1.0,no
E2410,Nudeivy,2.0,no
E2410,Mud,1.0,no
E2416,Nude,1.0,no
E2423,Whiteblue,1.0,no
E2426,Navy,9.0,yes
E2428,Navy,4.0,yes
E2430,White,1.0,yes
E2430,Whiteblack,1.0,yes
E2430,Whiteblue,6.0,yes
E2431,Red,14.0,yes
E2433,Blackprint,4.0,yes
E2434,Redprint,1.0,yes
E2436,Black,1.0,yes
E2436,Blackprint,7.0,yes
E2436,Brown,1.0,no
E2437,Navyprint,20.0,yes
E2441,Ivory,1.0,no
E2443,Green,1.0,no
E2448,Apricot,1.0,yes
E2449,Green,10.0,yes
E2449,Ivory,3.0,yes
E2460,Black,5.0,yes
E2463,Blackprint,2.0,no
E2493,Aqua,2.0,yes
E2493,Lavender,5.0,yes
E2493,Peach,8.0,yes
E2494,Pink,9.0,no
E2494,Sangria,6.0,no
E2495,Pink,6.0,no
E2495,Skyblue,7.0,no
E2496,Peach,7.0,no
E2496,Skyblue,17.0,no
E2497,Mint,3.0,no
E2497,Blush,2.0,no
E2498,Blue,4.0,yes
E2498,Blush,7.0,yes
E2498,Teal,1.0,yes
E2500,Blush,3.0,yes
E2501,Blush,9.0,no
E2501,Lavender,10.0,no
E2501,Mint,1.0,no
E2503,Skyblue,6.0,no
E2509,Burgundy,7.0,yes
E2509,Red,6.0,yes
E2510,Ivory,3.0,yes
E2511,Blue,5.0,yes
E2511,Navy,1.0,yes
E2513,Red,19.0,yes
E2514,Emerald,14.0,yes
E2514,Claret,1.0,yes
E2517,Champagne,1.0,yes
E252,Green,1.0,no
E2520,Aqua,1.0,no
E2520,Green,1.0,no
E2524,Cherry,16.0,no
E2524,Green,3.0,no
E2524,Mauve,0.0,no
E2526,Green,24.0,yes
E2527,Black,16.0,yes
E2531,Royal,4.0,yes
E2531,Royalblue,9.0,yes
E2532,Print,11.0,yes
E2534,Blue,1.0,yes
E2535,Burgundy,6.0,yes
E2537,Ivory,1.0,yes
E2540,Teal,26.0,yes
E2543,Black,20.0,yes
E2544,Red,20.0,yes
E2545,Green,38.0,yes
E2547,Black,1.0,yes
E2547,Royal,19.0,yes
E2547,Royalblue,4.0,yes
E2548,Purple,1.0,no
E2549,Blackgreen,14.0,yes
E2550,Red,33.0,yes
E2551,Red,11.0,yes
E2553,Red,35.0,yes
E2554,Gold,29.0,yes
E2557,Navy,33.0,no
E2560,Navy,24.0,yes
E2561,Navy,1.0,no
E2568,Aqua,7.0,yes
E2570,Burgundy,7.0,yes
E2570,Skyblue,2.0,yes
E2572,Black,2.0,yes
E2573,Turquoise,10.0,no
E2574,Black,22.0,yes
E2578,Black,31.0,no
E2584,Black,2.0,no
E2587,Black,3.0,no
E2589,Black,9.0,yes
E2590,Rose,24.0,yes
E2593,Navy,1.0,yes
E2599,Red,40.0,no
E2600,Royal,9.0,yes
E2600,Red,10.0,yes
E2601,Emerald,27.0,yes
E2601,Navy,10.0,yes
E2602,Black,22.0,yes
E2602,Mint,9.0,yes
E2603,Black,1.0,no
E2604,Black,1.0,no
E2605,Mint,3.0,no
E2606,Mint,5.0,no
E2607,Mint,1.0,no
E2608,Mint,1.0,no
E2610,Champagne,2.0,no
E2613,Mauve,7.0,yes
E2614,Navy,1.0,yes
E2615,Claret,10.0,yes
E2619,Navy,1.0,no
E2701,Rose,23.0,yes
E2705,Gold,1.0,yes
E2708,Black,16.0,yes
E2708,Blackprint,1.0,yes
E2708,Navy,11.0,yes
E2717,Champagne,2.0,no
E2752,Green,25.0,yes
E2753,Skyblue,1.0,yes
E2753,Turquoise,8.0,yes
E2754,Navy,10.0,yes
E2755,Peach,16.0,no
E2757,Red,1.0,no
E2764,Royal,4.0,yes
E2767,Wine,6.0,yes
E2768,Royal,1.0,yes
E2768,Navy,4.0,yes
E2769,Royal,1.0,yes
E2770,Red,14.0,yes
